dc:title,dc:creator,prism:publicationName,prism:doi,citedby-count,openaccessFlag,affilname,affiliation-city,affiliation-country,abstract,processedAbstract,processedAbstract_str
From Vision to Reality: The Use of Artificial Intelligence in Different Urban Planning Phases,Othengrafen F.,Urban Planning,10.17645/up.8576,0,True,Technische Universität Dortmund,Dortmund,Germany,"In an urban context, the use of artificial intelligence (AI) can help to categorise and analyse large amounts of data quickly and efficiently. The AI approach can make municipal administration and planning processes more efficient, improve environmental and living conditions (e.g., air quality, inventory of road damages, etc.), or strengthen the participation of residents in decision-making processes. The key to this is “machine learning” that has the ability to recognise patterns, capture models, and learn on the basis of big data via the application of automated statistical methods. However, what does this mean for urban planning and the future development of cities? Will AI take over the planning and design of our cities and actively intervene in and influence planning activities? This article applies a systematic literature review supplemented by case study analyses and expert interviews to categorise various types of AI and relate their potential applications to the different phases of the planning process. The findings emphasize that AI systems are highly specialised applications for solving and processing specific challenges and tasks within a planning process. This can improve planning processes and results, but ultimately AI only suggests alternatives and possible solutions. Thus, AI has to be regarded as a planning tool rather than the planning solution. Ultimately, it is the planners who have to make decisions about the future development of cities, taking into account the possibilities and limitations of the AI applications that have been used in the planning process.","['possible', 'quality', 'capture', 'environmental', 'context', 'processing', 'application', 'result', 'used', 'air', 'mean', 'pattern', 'tool', 'challenge', 'ability', 'road', 'eg', 'various', 'alternative', 'improve', 'efficient', 'categorise', 'within', 'automated', 'take', 'solution', 'city', 'decision', 'learning', 'via', 'actively', 'condition', 'machine', 'inventory', 'damage', 'future', 'intervene', 'suggests', 'process', 'participation', 'resident', 'potential', 'specific', 'application', 'statistical', 'etc', 'solution', 'type', 'phase', 'expert', 'activity', 'intelligence', 'article', 'system', 'planner', 'approach', 'living', 'use', 'recognise', 'rather', 'systematic', 'administration', 'analyse', 'key', 'make', 'taking', 'planning', 'task', 'influence', 'efficiently', 'thus', 'municipal', 'large', 'however', 'review', 'solving', 'model', 'possibility', 'supplemented', 'data', 'basis', 'emphasize', 'urban', 'analysis', 'help', 'design', 'ai', 'ultimately', 'interview', 'account', 'method', 'strengthen', 'learn', 'applies', 'literature', 'specialised', 'process', 'case', 'different', 'decisionmaking', 'regarded', 'finding', 'quickly', 'relate', 'big', 'limitation', 'development', 'amount', 'highly', 'artificial', 'study']",possible quality capture environmental context processing application result used air mean pattern tool challenge ability road eg various alternative improve efficient categorise within automated take solution city decision learning via actively condition machine inventory damage future intervene suggests process participation resident potential specific application statistical etc solution type phase expert activity intelligence article system planner approach living use recognise rather systematic administration analyse key make taking planning task influence efficiently thus municipal large however review solving model possibility supplemented data basis emphasize urban analysis help design ai ultimately interview account method strengthen learn applies literature specialised process case different decisionmaking regarded finding quickly relate big limitation development amount highly artificial study
Revitalizing urban industrial heritage: Enhancing public trust in government through smart city development and open big data analysis using artificial neural network (ANN) modeling,Yue H.,Cities,10.1016/j.cities.2024.105538,0,False,Sichuan Normal University,Chengdu,China,"This study shows how smart city development revitalizes urban industrial heritage (UIH) and traditional industrial areas, especially by fostering public trust in government through open big data analysis. Rapid urbanization and industrialization have led to the degradation of many old industrial areas, causing urban decay and environmental concerns. However, smart city technologies show new opportunities for rejuvenating these locations, transforming them into vibrant, sustainable, and livable environments. The research shows challenges faced by UIH, such as outdated infrastructure, pollution, and neglect, and explores how smart city technologies can enhance resource efficiency, mobility, connectivity, and the built environment. It indicates the potential of open big data analysis to foster transparency and accountability, thereby enhancing public trust in government efforts. Various international examples of smart city initiatives illustrate the benefits of these technologies, stressing the importance of community involvement to ensure the success and sustainability of revitalization efforts. Additionally, the study shows an artificial neural network (ANN) to analyze relationships among various parameters, showing its effectiveness in understanding complex functions, even with training data errors. By modeling the connections between aging infrastructure, pollution, and factors such as resource use and mobility, the research achieves high predictive accuracy. The study advocates for a holistic approach to urban revitalization that emphasizes social, economic, and environmental sustainability. It suggests that integrating smart city development with open big data analysis can transform urban industrial heritage into vibrant, resilient areas, effectively addressing 21st-century challenges and enhancing public trust in government initiatives.","['sustainability', 'success', 'transparency', 'environmental', 'economic', 'aging', 'livable', 'opportunity', 'outdated', 'showing', 'rapid', 'challenge', 'especially', 'indicates', 'research', 'accuracy', 'various', 'connectivity', 'causing', 'enhancing', 'environment', 'faced', 'vibrant', 'integrating', 'high', 'even', 'among', 'environment', 'suggests', 'potential', 'involvement', 'importance', 'mobility', 'illustrate', 'neural', 'revitalizes', 'location', 'modeling', 'pollution', 'industrial', 'heritage', 'government', 'effectively', 'efficiency', 'decay', 'uih', 'technology', 'advocate', 'sustainable', 'benefit', 'led', 'enhance', 'accountability', 'analysis', 'factor', 'approach', 'urbanization', 'use', 'show', 'traditional', 'predictive', 'understanding', 'ensure', 'transform', 'smart', 'rejuvenating', 'thereby', 'area', 'however', 'fostering', 'holistic', 'data', 'network', 'urban', 'addressing', 'training', 'public', 'new', 'social', 'additionally', 'neglect', 'stressing', 'built', 'foster', 'concern', 'effort', 'old', 'revitalization', 'effectiveness', 'achieves', 'international', 'open', 'many', 'initiative', 'error', 'community', 'industrialization', 'infrastructure', 'resource', 'analyze', 'relationship', 'parameter', 'degradation', 'complex', 'transforming', 'ann', 'emphasizes', 'big', 'development', 'show', 'trust', 'connection', 'example', 'resilient', 'artificial', 'function', 'city', 'study', 'explores']",sustainability success transparency environmental economic aging livable opportunity outdated showing rapid challenge especially indicates research accuracy various connectivity causing enhancing environment faced vibrant integrating high even among environment suggests potential involvement importance mobility illustrate neural revitalizes location modeling pollution industrial heritage government effectively efficiency decay uih technology advocate sustainable benefit led enhance accountability analysis factor approach urbanization use show traditional predictive understanding ensure transform smart rejuvenating thereby area however fostering holistic data network urban addressing training public new social additionally neglect stressing built foster concern effort old revitalization effectiveness achieves international open many initiative error community industrialization infrastructure resource analyze relationship parameter degradation complex transforming ann emphasizes big development show trust connection example resilient artificial function city study explores
"Measuring the value of window views using real estate big data and computer vision: A case study in Wuhan, China",Peng C.,Cities,10.1016/j.cities.2024.105536,0,False,Huazhong Agricultural University,Wuhan,China,"Window views significantly influence residential quality and real estate value, particularly in high-rise residential buildings. Previous studies have predominantly focused on water and green views, resulting in a lack of clarity regarding the influence of other types of views on house prices. In this study, we quantified and analyzed the impacts of 9 window view elements, including sky, high-rise buildings, low-rise buildings, trees, grass, water, hard ground, roads, and barren land, on housing prices using online real estate images and computer vision techniques. Focusing on high-rise buildings constructed in the past five years, our findings, based on spatial hedonic pricing models, reveal that an increased proportion of water views through windows has a significant positive effect on property prices. Conversely, the presence of grass and hard ground is associated with significant negative impacts. This study examines the influence of various window view elements on apartment prices, offering valuable insights for urban planning, architectural design, and property development.","['lowrise', 'quality', 'hedonic', 'constructed', 'value', 'insight', 'window', 'valuable', 'real', 'including', 'estate', 'water', 'sky', 'various', 'significant', 'resulting', 'year', 'view', 'focused', 'grass', 'negative', 'tree', 'significantly', 'reveal', 'vision', 'based', 'increased', 'type', 'building', 'examines', 'regarding', 'using', 'road', 'focusing', 'positive', 'offering', 'clarity', 'study', 'presence', 'planning', 'architectural', 'influence', 'particularly', 'proportion', 'associated', 'barren', 'housing', 'window', 'view', 'model', 'urban', 'five', 'pricing', 'conversely', 'design', 'past', 'element', 'analyzed', 'spatial', 'quantified', 'land', 'hard', 'image', 'computer', 'highrise', 'residential', 'house', 'ground', 'predominantly', 'price', 'previous', 'finding', 'green', 'property', 'lack', 'development', 'impact', 'technique', 'effect', 'online', 'study', 'apartment']",lowrise quality hedonic constructed value insight window valuable real including estate water sky various significant resulting year view focused grass negative tree significantly reveal vision based increased type building examines regarding using road focusing positive offering clarity study presence planning architectural influence particularly proportion associated barren housing window view model urban five pricing conversely design past element analyzed spatial quantified land hard image computer highrise residential house ground predominantly price previous finding green property lack development impact technique effect online study apartment
The attraction gradient of urban functions: How does functional mix at multiple scales predict urban vitality,Duan J.,Cities,10.1016/j.cities.2024.105516,0,False,University College London,London,United Kingdom,"What determines urban vitality has been a key research topic for urban planning and management since Jane Jacobs. Recently, statistical examinations of the relationship between the urban environment and vitality have become possible, facilitated by the availability of human positioning big data and fine-grained built environment data. However, existing studies tend to oversimplify the spatial impact of urban environmental factors, focusing solely on immediate surroundings. Due to people's trip chaining and exploration behavior, a place's functions can have a “spill-over” effect across the urban space. This study, therefore, aims to investigate such “attraction gradient” of urban functions to better understand the spatial relationship between urban vitality and its influencing factors. The study uses mobile phone and point-of-interest data from Beijing and Chengdu, China, to model the relationship between a place's vitality and urban functions in different distance bands. We find that, when counting from a place, urban functions within five kilometers significantly predict urban vitality, whereas beyond five kilometers, their contribution is marginal. Daytime and nighttime attraction gradients also differ. This study offers insights into the spatial relationship between urban function and vitality, enhancing our understanding and modelling of urban vitality.","['possible', 'availability', 'place', 'kilometer', 'environmental', 'space', 'insight', 'chengdu', 'function', 'attraction', 'exploration', 'immediate', 'find', 'research', 'model', 'enhancing', 'within', 'jane', 'gradient', 'nighttime', 'surroundings', 'environment', 'solely', 'predict', 'significantly', 'statistical', 'determines', 'place', 'behavior', 'band', 'recently', 'topic', 'focusing', 'since', 'people', 'examination', 'factor', 'understand', 'us', 'key', 'management', 'also', 'study', 'due', 'jacob', 'planning', 'existing', 'understanding', 'oversimplify', 'become', 'vitality', 'modelling', 'phone', 'gradient', 'however', 'china', 'chaining', 'data', 'urban', 'five', 'pointofinterest', 'impact', 'daytime', 'relationship', 'human', 'built', 'spatial', 'trip', 'better', 'distance', 'positioning', 'finegrained', 'marginal', 'mobile', 'differ', 'facilitated', 'beyond', 'tend', 'different', 'contribution', 'big', 'spillover', 'counting', 'therefore', 'across', 'whereas', 'influencing', 'effect', 'function', 'investigate', 'study', 'beijing', 'offer', 'aim']",possible availability place kilometer environmental space insight chengdu function attraction exploration immediate find research model enhancing within jane gradient nighttime surroundings environment solely predict significantly statistical determines place behavior band recently topic focusing since people examination factor understand us key management also study due jacob planning existing understanding oversimplify become vitality modelling phone gradient however china chaining data urban five pointofinterest impact daytime relationship human built spatial trip better distance positioning finegrained marginal mobile differ facilitated beyond tend different contribution big spillover counting therefore across whereas influencing effect function investigate study beijing offer aim
Urban artificial intelligence: A guidebook for understanding concepts and technologies,Yigitcanlar T.,Urban Artificial Intelligence: A Guidebook for Understanding Concepts and Technologies,10.1201/9781003521457,0,False,Queensland University of Technology,Brisbane,Australia,"Tan Yigitcanlar offers a comprehensive exploration of artificial intelligence's (AI) role in shaping modern cities. This volume delves into how AI-driven analytics and big data provide city planners with deeper insights, enabling more informed decision-making. These insights lead to more efficient resource use, improved public services, and better infrastructure management. In the digital age, AI is revolutionising various sectors, fundamentally altering our approach to problem-solving and innovation. AI's transformative power spans industries from healthcare to finance, and now, it is poised to redefine urban planning and development. Urban areas, as the epicentres of human activity and progress, face myriad challenges such as population growth, resource management, environmental sustainability, and infrastructure development. Traditional methods often fall short in addressing these complexities, making the integration of AI an essential frontier. Comprising seven extensive and insightful chapters, this volume bridges the gap between the theoretical potential and practical implementation of AI in urban contexts. It covers foundational concepts of urban AI, examines its applications across different domains, and explores how AI can improve urban life through smarter home technologies and personalised public services. This first volume is complemented by Urban Artificial Intelligence: A Guidebook for Understanding Perceptions and Ethics, which delves into the ethical and perceptual dimensions of AI in urban settings. Together, these volumes provide a holistic view of urban artificial intelligence, offering essential insights for urban planners, policymakers, researchers, and anyone interested in the intersection of AI and urban development.","['gap', 'sustainability', 'complemented', 'environmental', 'complexity', 'foundational', 'volume', 'industry', 'insight', 'role', 'concept', 'exploration', 'seven', 'policymakers', 'power', 'challenge', 'researcher', 'yigitcanlar', 'digital', 'various', 'context', 'revolutionising', 'ai', 'efficient', 'improve', 'epicentre', 'view', 'perceptual', 'city', 'innovation', 'analytics', 'frontier', 'poised', 'domain', 'potential', 'progress', 'application', 'extensive', 'first', 'volume', 'enabling', 'activity', 'life', 'fundamentally', 'theoretical', 'span', 'implementation', 'examines', 'technology', 'guidebook', 'intelligence', 'planner', 'bridge', 'personalised', 'approach', 'use', 'interested', 'population', 'provide', 'offering', 'comprising', 'traditional', 'insightful', 'management', 'planning', 'understanding', 'problemsolving', 'service', 'fall', 'intelligence', 'intersection', 'informed', 'comprehensive', 'altering', 'delf', 'area', 'integration', 'face', 'holistic', 'data', 'growth', 'perception', 'urban', 'shaping', 'addressing', 'age', 'anyone', 'public', 'ai', 'aidriven', 'tan', 'lead', 'improved', 'human', 'transformative', 'better', 'method', 'deeper', 'modern', 'home', 'healthcare', 'cover', 'together', 'infrastructure', 'resource', 'essential', 'chapter', 'redefine', 'different', 'decisionmaking', 'sector', 'finance', 'big', 'practical', 'ethical', 'development', 'often', 'across', 'myriad', 'short', 'ethic', 'smarter', 'artificial', 'city', 'dimension', 'making', 'offer', 'explores', 'setting']",gap sustainability complemented environmental complexity foundational volume industry insight role concept exploration seven policymakers power challenge researcher yigitcanlar digital various context revolutionising ai efficient improve epicentre view perceptual city innovation analytics frontier poised domain potential progress application extensive first volume enabling activity life fundamentally theoretical span implementation examines technology guidebook intelligence planner bridge personalised approach use interested population provide offering comprising traditional insightful management planning understanding problemsolving service fall intelligence intersection informed comprehensive altering delf area integration face holistic data growth perception urban shaping addressing age anyone public ai aidriven tan lead improved human transformative better method deeper modern home healthcare cover together infrastructure resource essential chapter redefine different decisionmaking sector finance big practical ethical development often across myriad short ethic smarter artificial city dimension making offer explores setting
Changes in visitor behaviour across COVID-19 pandemic: Unveiling urban visitation dynamics and non-linear relationships with the built environment using mobile big data,Yuan L.,Habitat International,10.1016/j.habitatint.2024.103216,0,True,The University of Tokyo,Tokyo,Japan,"COVID-19 has significantly affected the behavioural patterns of urban visitors. However, the non-linear relationships between visitor behaviour and built environments, particularly how these relationships have evolved during the pandemic, have not yet been extensively studied. Using over 10 million mobile big data records collected over three years in Fukuoka, Japan, incorporating the XGBoost machine learning model and SHAP-PDP interpretation method, we identified non-linear relationships between visitor behaviours and built environments. Our findings uncovered significant non-linear impacts on visitor behaviour of several urban characteristics, such as floor area ratio, building coverage ratio, road density, and POI richness. Notably, the floor area ratio exhibits a negative correlation with visit frequency below 1 but a positive correlation above 2. Building coverage ratio positively impacts visit frequency up to 1000 m2 per 10,000 m2, after which it turns negative; this correlation shifted towards a consistent negative trend during the pandemic. Road density, which usually correlates negatively with visit duration, became positively correlated above 700 m2 per 10,000 m2 during the pandemic. Similarly, the influence of floor area ratio on visit duration reversed from negative to positive under pandemic conditions. Revealing the dynamic and non-monotonic nature of how urban visitors respond to the built environment under the influence of the pandemic, our results provide valuable insights for urban planning strategies in response to crisis resiliently.","['visit', 'uncovered', 'result', 'japan', 'pattern', 'insight', 'valuable', 'correlate', 'behaviour', 'behavioural', 'coverage', 'identified', 'became', 'usually', 'road', 'extensively', 'per', 'model', 'significant', 'environment', 'visitor', 'year', 'ratio', 'similarly', 'reversed', 'strategy', 'exhibit', 'frequency', 'nonmonotonic', 'learning', 'negative', 'condition', 'machine', 'yet', 'poi', 'shappdp', 'studied', 'environment', 'area', 'significantly', 'building', 'interpretation', 'fukuoka', 'duration', 'notably', 'consistent', 'negatively', 'trend', 'using', 'evolved', 'density', 'positive', 'dynamic', 'positively', 'provide', 'affected', 'nature', 'response', 'respond', 'visitor', 'planning', 'several', 'characteristic', 'turn', 'influence', 'particularly', 'towards', 'pandemic', 'however', 'shifted', 'data', 'urban', 'resiliently', 'crisis', 'collected', 'xgboost', 'floor', 'built', 'revealing', 'incorporating', 'mobile', 'three', 'relationship', 'correlated', 'richness', 'finding', 'correlation', 'nonlinear', 'record', 'big', 'method', 'impact', 'million', 'behaviour']",visit uncovered result japan pattern insight valuable correlate behaviour behavioural coverage identified became usually road extensively per model significant environment visitor year ratio similarly reversed strategy exhibit frequency nonmonotonic learning negative condition machine yet poi shappdp studied environment area significantly building interpretation fukuoka duration notably consistent negatively trend using evolved density positive dynamic positively provide affected nature response respond visitor planning several characteristic turn influence particularly towards pandemic however shifted data urban resiliently crisis collected xgboost floor built revealing incorporating mobile three relationship correlated richness finding correlation nonlinear record big method impact million behaviour
Crafting a jogging-friendly city: Harnessing big data to evaluate the runnability of urban streets,Gao F.,Journal of Transport Geography,10.1016/j.jtrangeo.2024.104015,0,False,Collaborative Innovation Center for Natural Resources Planning and Marine Technology of Guangzhou,Guangzhou,China,"Jogging, historically marginalized in the realms of urban and transportation strategy since it is not about commuting, is garnering appreciation for its health-related merits. The growing public focus on health underscores the urgent need for planning and infrastructure to support outdoor physical activities, yet current evaluations of urban environments' friendliness toward such activities are insufficient. This investigation unveils a runnability evaluation framework predicated on accessible geospatial big data. Initial steps involved delineating potential metrics from the built environment, pedestrian perceptions, and the natural setting, as informed by literature. This was followed by constructing a backward stepwise regression analysis, utilizing jogging frequency as the response variable against the identified metrics as predictors. The ensuing model retained certain variables, which were then deemed valid metrics, and their regression coefficients were appropriated as weights to compute a runnability index for individual street segments. This framework was applied in Guangzhou, affirming the model's objectivity and validity. The introduced framework furnishes researchers and urban planners with an objective and reproducible tool for the evaluation of runnability and possesses the versatility for an extension to assess walkability and bikeability. This study encourages the attention and support of jogging activities.","['evaluation', 'transportation', 'variable', 'stepwise', 'objective', 'delineating', 'step', 'tool', 'health', 'identified', 'affirming', 'researcher', 'regression', 'accessible', 'retained', 'garnering', 'model', 'environment', 'involved', 'support', 'walkability', 'validity', 'frequency', 'predictor', 'toward', 'merit', 'yet', 'coefficient', 'environment', 'potential', 'utilizing', 'unveils', 'versatility', 'reproducible', 'segment', 'objectivity', 'activity', 'street', 'furnishes', 'applied', 'natural', 'weight', 'commuting', 'extension', 'since', 'planner', 'analysis', 'realm', 'urgent', 'bikeability', 'evaluation', 'response', 'attention', 'planning', 'underscore', 'setting', 'introduced', 'constructing', 'pedestrian', 'informed', 'focus', 'healthrelated', 'valid', 'model', 'geospatial', 'data', 'perception', 'encourages', 'urban', 'runnability', 'need', 'initial', 'public', 'investigation', 'physical', 'built', 'framework', 'insufficient', 'variable', 'certain', 'current', 'metric', 'possesses', 'infrastructure', 'index', 'appreciation', 'individual', 'literature', 'guangzhou', 'friendliness', 'predicated', 'ensuing', 'big', 'appropriated', 'jogging', 'compute', 'marginalized', 'historically', 'growing', 'followed', 'assess', 'backward', 'strategy', 'study', 'deemed', 'outdoor']",evaluation transportation variable stepwise objective delineating step tool health identified affirming researcher regression accessible retained garnering model environment involved support walkability validity frequency predictor toward merit yet coefficient environment potential utilizing unveils versatility reproducible segment objectivity activity street furnishes applied natural weight commuting extension since planner analysis realm urgent bikeability evaluation response attention planning underscore setting introduced constructing pedestrian informed focus healthrelated valid model geospatial data perception encourages urban runnability need initial public investigation physical built framework insufficient variable certain current metric possesses infrastructure index appreciation individual literature guangzhou friendliness predicated ensuing big appropriated jogging compute marginalized historically growing followed assess backward strategy study deemed outdoor
Spatial equity in healthcare access: An opportunity-utilization perspective,Du F.,Cities,10.1016/j.cities.2024.105424,0,False,University of Electronic Science and Technology of China,Chengdu,China,"Spatial equity in healthcare access has long been a key objective of sustainable urban development. However, traditional equity frameworks, while valuable, often fail to fully capture the complexity of actual healthcare utilization, which can lead to the misidentification of service gaps. To overcome this limitation, this paper introduces a theoretical framework that integrates opportunities with actual utilization, making the assessment of spatial equity in healthcare access more reflective of real-world conditions. We apply this framework in Beijing, China, leveraging a comprehensive dataset of health-seeking trips derived from smart card and taxi trajectory records, and identify key factors influencing access through spatial regression models. Our analysis reveals patterns of spatial inequity in healthcare access that diverge significantly from those identified by conventional opportunity-based methods. These inequities are strongly linked to factors such as hospital proximity, socioeconomic status, demographic characteristics, and transportation access. Our findings highlight the critical importance of incorporating both healthcare opportunities and actual utilization into urban planning efforts to effectively address and mitigate health inequities.","['capture', 'equity', 'transportation', 'opportunity', 'limitation', 'reveals', 'objective', 'pattern', 'critical', 'valuable', 'health', 'strongly', 'identified', 'trip', 'regression', 'trajectory', 'healthseeking', 'reflective', 'address', 'service', 'utilization', 'introduces', 'fail', 'conventional', 'condition', 'proximity', 'demographic', 'long', 'opportunitybased', 'importance', 'significantly', 'complexity', 'integrates', 'apply', 'identify', 'framework', 'theoretical', 'effectively', 'sustainable', 'access', 'analysis', 'factor', 'key', 'traditional', 'inequity', 'actual', 'card', 'planning', 'characteristic', 'taxi', 'realworld', 'linked', 'smart', 'comprehensive', 'misidentification', 'derived', 'however', 'china', 'model', 'leveraging', 'inequity', 'assessment', 'urban', 'highlight', 'overcome', 'lead', 'hospital', 'diverge', 'spatial', 'effort', 'framework', 'method', 'incorporating', 'healthcare', 'mitigate', 'dataset', 'finding', 'record', 'development', 'socioeconomic', 'often', 'fully', 'influencing', 'paper', 'gap', 'status', 'making', 'beijing']",capture equity transportation opportunity limitation reveals objective pattern critical valuable health strongly identified trip regression trajectory healthseeking reflective address service utilization introduces fail conventional condition proximity demographic long opportunitybased importance significantly complexity integrates apply identify framework theoretical effectively sustainable access analysis factor key traditional inequity actual card planning characteristic taxi realworld linked smart comprehensive misidentification derived however china model leveraging inequity assessment urban highlight overcome lead hospital diverge spatial effort framework method incorporating healthcare mitigate dataset finding record development socioeconomic often fully influencing paper gap status making beijing
Commentary: A road map for future data-driven urban planning and environmental health research,Dyer G.M.C.,Cities,10.1016/j.cities.2024.105340,0,True,Instituto de Salud Global de Barcelona,Barcelona,Spain,"Recent advances in data science and urban environmental health research utilise large-scale databases (100s–1000s of cities) to explore the complex interplay of urban characteristics such as city form and size, climate, mobility, exposure, and environmental health impacts. Cities are still hotspots of air pollution and noise, suffer urban heat island effects and lack of green space, which leads to disease and mortality burdens preventable with better knowledge. Better understanding through harmonising and analysing data in large numbers of cities is essential to identifying the most effective means of disease prevention and understanding context dependencies important for policy.","['effective', 'largescale', 'island', 'environmental', 'space', 'better', 'recent', 'database', 'preventable', 'hotspot', 'number', 'context', 'air', 'prevention', 'mobility', 'characteristic', 'understanding', 'form', 'health', 'size', 'lead', 'effect', 'knowledge', 'utilise', 'noise', 'essential', 'dependency', 'analysing', 'pollution', 'complex', 'interplay', 'research', 'green', 'large', 'climate', 'lack', 'data', 'impact', 'urban', 'exposure', 'still', 'explore', 'suffer', 'disease', 'mortality', 'policy', 'mean', 'city', 'city', 'burden', 'important', 'harmonising', 'heat', 'advance', 'identifying', 'science']",effective largescale island environmental space better recent database preventable hotspot number context air prevention mobility characteristic understanding form health size lead effect knowledge utilise noise essential dependency analysing pollution complex interplay research green large climate lack data impact urban exposure still explore suffer disease mortality policy mean city city burden important harmonising heat advance identifying science
Digital finance policy and the challenge of air pollution in China,Li L.,Humanities and Social Sciences Communications,10.1057/s41599-024-03637-7,0,True,Central University of Finance and Economics,Beijing,China,"This study investigates the influence of digital finance tools on air quality in China from 1990 to 2020 using the cross-sectional augmented autoregressive distributed lag approach. The findings underscore the critical role of digital finance, especially internet banking, in reducing air pollution levels. The increased adoption of internet banking is linked to lower vehicular emissions and more efficient financial operations, aiding environmental preservation. Similarly, ATM banking is found to negatively correlate with air pollution, though to a lesser extent. In contrast, coal consumption, urban population growth, and inflation are positively associated with air pollution, highlighting the necessity for sustainable urban planning and energy transition policies. To combat air pollution, it is essential to utilize digital finance tools, broaden digitalization across various sectors, and employ AI and big data for precise interventions. Supporting green financial tools can help fund renewable energy projects, speeding up China’s shift to a low-carbon economy and mitigating the harmful effects of air pollution.","['quality', 'highlighting', 'environmental', 'air', 'energy', 'critical', 'role', 'supporting', 'especially', 'economy', 'digital', 'various', 'inflation', 'lesser', 'employ', 'efficient', 'similarly', 'policy', 'internet', 'aiding', 'extent', 'consumption', 'harmful', 'renewable', 'distributed', 'increased', 'broaden', 'lower', 'emission', 'pollution', 'china', 'crosssectional', 'negatively', 'using', 'sustainable', 'intervention', 'utilize', 'approach', 'population', 'positively', 'reducing', 'precise', 'shift', 'financial', 'planning', 'project', 'necessity', 'coal', 'influence', 'linked', 'associated', 'china', 'data', 'growth', 'vehicular', 'urban', 'atm', 'help', 'adoption', 'preservation', 'contrast', 'ai', 'banking', 'transition', 'underscore', 'digitalization', 'lowcarbon', 'level', 'autoregressive', 'lag', 'mitigating', 'combat', 'effect', 'correlate', 'essential', 'tool', 'finding', 'sector', 'green', 'finance', 'big', 'augmented', 'operation', 'investigates', 'found', 'across', 'study', 'speeding', 'though', 'fund']",quality highlighting environmental air energy critical role supporting especially economy digital various inflation lesser employ efficient similarly policy internet aiding extent consumption harmful renewable distributed increased broaden lower emission pollution china crosssectional negatively using sustainable intervention utilize approach population positively reducing precise shift financial planning project necessity coal influence linked associated china data growth vehicular urban atm help adoption preservation contrast ai banking transition underscore digitalization lowcarbon level autoregressive lag mitigating combat effect correlate essential tool finding sector green finance big augmented operation investigates found across study speeding though fund
