Topic_Cluster,tecnicas_str_categorizadas,percentage
0,Outras,48.92
0,Modelagem Preditiva e Machine Learning,10.85
0,Análise de Dados,10.15
0,Geociências e Dados Espaciais,7.04
0,Mineração e Processamento de Dados,6.84
0,Big Data e Computação em Nuvem,6.57
0,Gestão e Integração de Dados,4.04
0,Análise Temporal,1.85
0,Estratégias e Decisões Orientadas a Dados,1.15
0,Análise Social e Urbana,1.11
1,Outras,49.68
1,Modelagem Preditiva e Machine Learning,11.94
1,Big Data e Computação em Nuvem,8.38
1,Mineração e Processamento de Dados,7.43
1,Análise de Dados,6.8
1,Gestão e Integração de Dados,4.55
1,Geociências e Dados Espaciais,3.15
1,Inteligência Artificial e NLP,2.21
1,Análise Social e Urbana,1.98
1,Estratégias e Decisões Orientadas a Dados,1.89
2,Outras,49.2
2,Análise de Dados,10.18
2,Modelagem Preditiva e Machine Learning,8.83
2,Big Data e Computação em Nuvem,8.1
2,Mineração e Processamento de Dados,6.99
2,Geociências e Dados Espaciais,4.91
2,Gestão e Integração de Dados,4.54
2,Análise Temporal,2.45
2,Inteligência Artificial e NLP,1.72
2,Análise Social e Urbana,1.35
3,Outras,41.35
3,Modelagem Preditiva e Machine Learning,12.81
3,Análise de Dados,11.25
3,Mineração e Processamento de Dados,9.61
3,Geociências e Dados Espaciais,8.33
3,Big Data e Computação em Nuvem,5.22
3,Gestão e Integração de Dados,3.48
3,Estratégias e Decisões Orientadas a Dados,2.29
3,Análise Temporal,1.92
3,Análise Social e Urbana,1.56
